price_change_percent_signed,product_id,curr_price,curr_scrape_date,prev_price,prev_scrape_date,product_name,listing_url,source_file
+177.78%,14625132-14457441,2775.0,2024-10-23,999.0,2024-10-17,Grey Leather Crossbody Bag,https://www.italist.com/us/women/bags/shoulder-bags/grey-leather-crossbody-bag/14457441/14625132/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+109.31%,14625131-14457440,2091.0,2024-10-23,999.0,2024-10-17,Caramel Leather Mini Prada Re-edition Shoulder Bag,https://www.italist.com/us/women/bags/totes/caramel-leather-mini-prada-re-edition-shoulder-bag/14457440/14625131/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+109.31%,14625130-14457439,2091.0,2024-10-23,999.0,2024-10-17,Black Leather Mini Prada Re-edition Shoulder Bag,https://www.italist.com/us/women/bags/totes/black-leather-mini-prada-re-edition-shoulder-bag/14457439/14625130/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+119.12%,14625129-14457438,2189.0,2024-10-23,999.0,2024-10-17,Pastel Yellow Leather Arquã¨ Handbag,https://www.italist.com/us/women/bags/totes/pastel-yellow-leather-arqua-handbag/14457438/14625129/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+324.42%,14597352-14429661,4240.0,2024-10-23,999.0,2024-10-17,Black Leather Shopping Bag,https://www.italist.com/us/women/bags/totes/black-leather-shopping-bag/14429661/14597352/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+177.78%,14573761-14406070,2775.0,2024-10-23,999.0,2024-10-17,Embroidered Fabric Large Symbole Shopping Bag,https://www.italist.com/us/women/bags/totes/embroidered-fabric-large-symbole-shopping-bag/14406070/14573761/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+119.12%,14572513-14404822,2189.0,2024-10-23,999.0,2024-10-17,Caramel Leather Crossbody Bag,https://www.italist.com/us/women/bags/shoulder-bags/caramel-leather-crossbody-bag/14404822/14572513/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+295.90%,14568709-14401018,3955.0,2024-10-23,999.0,2024-10-17,Shoulder Bag,https://www.italist.com/us/women/bags/shoulder-bags/shoulder-bag/14401018/14568709/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+399.10%,14568707-14401016,4986.0,2024-10-23,999.0,2024-10-17,Belted Handbag,https://www.italist.com/us/women/bags/belted-handbag/14401016/14568707/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+246.15%,14565352-14397661,3458.0,2024-10-23,999.0,2024-10-17,Caramel Leather Shopping Bag,https://www.italist.com/us/women/bags/totes/caramel-leather-shopping-bag/14397661/14565352/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+285.29%,14565351-14397660,3849.0,2024-10-23,999.0,2024-10-17,Caramel Leather Shopping Bag,https://www.italist.com/us/women/bags/totes/caramel-leather-shopping-bag/14397660/14565351/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+109.31%,14565350-14397659,2091.0,2024-10-23,999.0,2024-10-17,Raffia Crossbody Bag,https://www.italist.com/us/women/bags/shoulder-bags/raffia-crossbody-bag/14397659/14565350/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+109.31%,14565349-14397658,2091.0,2024-10-23,999.0,2024-10-17,Black Raffia Crossbody Bag,https://www.italist.com/us/women/bags/shoulder-bags/black-raffia-crossbody-bag/14397658/14565349/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+197.30%,14565340-14397649,2970.0,2024-10-23,999.0,2024-10-17,Embroidered Fabric Large Symbole Shopping Bag,https://www.italist.com/us/women/bags/totes/embroidered-fabric-large-symbole-shopping-bag/14397649/14565340/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+177.78%,14565339-14397648,2775.0,2024-10-23,999.0,2024-10-17,Embroidered Fabric Large Symbole Shopping Bag,https://www.italist.com/us/women/bags/totes/embroidered-fabric-large-symbole-shopping-bag/14397648/14565339/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+94.69%,14565338-14397647,1945.0,2024-10-23,999.0,2024-10-17,Embroidered Fabric Micro Symbole Handbag,https://www.italist.com/us/women/bags/totes/embroidered-fabric-micro-symbole-handbag/14397647/14565338/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+158.26%,14565337-14397646,2580.0,2024-10-23,999.0,2024-10-17,Embroidered Fabric Small Symbole Shopping Bag,https://www.italist.com/us/women/bags/totes/embroidered-fabric-small-symbole-shopping-bag/14397646/14565337/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+158.26%,14558494-14390803,2580.0,2024-10-23,999.0,2024-10-17,Embroidered Fabric Small Symbole Shopping Bag,https://www.italist.com/us/women/bags/totes/embroidered-fabric-small-symbole-shopping-bag/14390803/14558494/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+158.26%,14557360-14389669,2580.0,2024-10-23,999.0,2024-10-17,Embroidered Fabric Small Symbole Shopping Bag,https://www.italist.com/us/women/bags/totes/embroidered-fabric-small-symbole-shopping-bag/14389669/14557360/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+151.35%,14554718-14387027,2511.0,2024-10-23,999.0,2024-10-17,Cappuccino Leather Shoulder Bag,https://www.italist.com/us/women/bags/shoulder-bags/cappuccino-leather-shoulder-bag/14387027/14554718/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+119.12%,14551812-14384121,2189.0,2024-10-23,999.0,2024-10-17,Black Leather Crossbody Bag,https://www.italist.com/us/women/bags/totes/black-leather-crossbody-bag/14384121/14551812/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+119.12%,14533201-14365510,2189.0,2024-10-23,999.0,2024-10-17,Black Leather Crossbody Bag,https://www.italist.com/us/women/bags/shoulder-bags/black-leather-crossbody-bag/14365510/14533201/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+70.27%,14517370-14349679,1701.0,2024-10-23,999.0,2024-10-17,Midnight Blue Re-nylon Large Re-edition 1978 Shopping Bag,https://www.italist.com/us/women/bags/totes/midnight-blue-re-nylon-large-re-edition-1978-shopping-bag/14349679/14517370/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+158.26%,14517368-14349677,2580.0,2024-10-23,999.0,2024-10-17,White Leather Cleo Shoulder Bag,https://www.italist.com/us/women/bags/totes/white-leather-cleo-shoulder-bag/14349677/14517368/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+187.49%,14517365-14349674,2872.0,2024-10-23,999.0,2024-10-17,Sand Leather Small Panier Handbag,https://www.italist.com/us/women/bags/totes/sand-leather-small-panier-handbag/14349674/14517365/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+109.31%,14463824-14296133,2091.0,2024-10-23,999.0,2024-10-17,Black Leather Crossbody Bag,https://www.italist.com/us/women/bags/shoulder-bags/black-leather-crossbody-bag/14296133/14463824/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+145.95%,14455300-14287609,2457.0,2024-10-23,999.0,2024-10-17,Re-edition 1978 Re-nylon And Saffiano Large Black Top Case,https://www.italist.com/us/women/bags/luggage/re-edition-1978-re-nylon-and-saffiano-large-black-top-case/14287609/14455300/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+138.64%,14445396-14277705,2384.0,2024-10-23,999.0,2024-10-17,Light Pink Leather Shoulder Bag,https://www.italist.com/us/women/bags/totes/light-pink-leather-shoulder-bag/14277705/14445396/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+70.27%,14385668-14217977,1701.0,2024-10-23,999.0,2024-10-17,Mud Re-nylon Large Re-edition 1978 Shopping Bag,https://www.italist.com/us/women/bags/totes/mud-re-nylon-large-re-edition-1978-shopping-bag/14217977/14385668/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+116.52%,14633205-14465514,2163.0,2024-10-23,999.0,2024-10-17,Leather Crossbody Medium Bag,https://www.italist.com/us/women/bags/shoulder-bags/leather-crossbody-medium-bag/14465514/14633205/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+248.05%,14627108-14459417,3477.0,2024-10-23,999.0,2024-10-17,Prada Buckle Small Leather Bag,https://www.italist.com/us/women/bags/totes/prada-buckle-small-leather-bag/14459417/14627108/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+298.60%,14627105-14459414,3982.0,2024-10-23,999.0,2024-10-17,Prada Buckle Leather Bag,https://www.italist.com/us/women/bags/totes/prada-buckle-leather-bag/14459414/14627105/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+109.31%,14602957-14435266,2091.0,2024-10-23,999.0,2024-10-17,Tote,https://www.italist.com/us/women/bags/totes/tote/14435266/14602957/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+236.44%,14602956-14435265,3361.0,2024-10-23,999.0,2024-10-17,Tote,https://www.italist.com/us/women/bags/totes/tote/14435265/14602956/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+55.56%,14602953-14435262,1554.0,2024-10-23,999.0,2024-10-17,Backpack,https://www.italist.com/us/women/bags/backpacks/backpack/14435262/14602953/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+11.61%,14602941-14435250,1115.0,2024-10-23,999.0,2024-10-17,Shoulder Bag,https://www.italist.com/us/women/bags/shoulder-bags/shoulder-bag/14435250/14602941/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+126.63%,14586701-14419010,2264.0,2024-10-23,999.0,2024-10-17,Prada Arqué Leather Shoulder Bag,https://www.italist.com/us/women/bags/shoulder-bags/prada-arque-leather-shoulder-bag/14419010/14586701/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+89.79%,14566061-14398370,1896.0,2024-10-23,999.0,2024-10-17,Tote,https://www.italist.com/us/women/bags/totes/tote/14398370/14566061/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+324.42%,14628464-14460773,4240.0,2024-10-23,999.0,2024-10-17,Caramel Leather Shopping Bag,https://www.italist.com/us/women/bags/totes/caramel-leather-shopping-bag/14460773/14628464/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+158.26%,14609462-14441771,2580.0,2024-10-23,999.0,2024-10-17,Cleo Shoulder Bag,https://www.italist.com/us/women/bags/totes/cleo-shoulder-bag/14441771/14609462/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+11.61%,14598217-14430526,1115.0,2024-10-23,999.0,2024-10-17,Calf Leather Pouch,https://www.italist.com/us/women/bags/luggage/calf-leather-pouch/14430526/14598217/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+310.11%,14544713-14377022,4097.0,2024-10-23,999.0,2024-10-17,Caramel Leather Medium Prada Buckle Handbag,https://www.italist.com/us/women/bags/totes/caramel-leather-medium-prada-buckle-handbag/14377022/14544713/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+158.26%,14565337-14397646,2580.0,2024-10-23,999.0,2024-10-17,Embroidered Fabric Small Symbole Shopping Bag,https://www.italist.com/us/women/bags/totes/embroidered-fabric-small-symbole-shopping-bag/14397646/14565337/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/filtered/FILTERED_prada_2024-23-10_bags_3d1a448c/FILTERED_ITALIST_prada_2024-23-10_bags_3d1a448c.csv
+158.26%,14558494-14390803,2580.0,2024-10-23,999.0,2024-10-17,Embroidered Fabric Small Symbole Shopping Bag,https://www.italist.com/us/women/bags/totes/embroidered-fabric-small-symbole-shopping-bag/14390803/14558494/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/filtered/FILTERED_prada_2024-23-10_bags_3d1a448c/FILTERED_ITALIST_prada_2024-23-10_bags_3d1a448c.csv
+158.26%,14557360-14389669,2580.0,2024-10-23,999.0,2024-10-17,Embroidered Fabric Small Symbole Shopping Bag,https://www.italist.com/us/women/bags/totes/embroidered-fabric-small-symbole-shopping-bag/14389669/14557360/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/filtered/FILTERED_prada_2024-23-10_bags_3d1a448c/FILTERED_ITALIST_prada_2024-23-10_bags_3d1a448c.csv
-57.86%,14699240-14531549,421.0,2024-10-23,999.0,2024-10-17,Black Re-nylon Beauty Case,https://www.italist.com/us/women/bags/luggage/black-re-nylon-beauty-case/14531549/14699240/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+295.90%,14696885-14529194,3955.0,2024-10-23,999.0,2024-10-17,Shoulder Bag,https://www.italist.com/us/women/bags/shoulder-bags/shoulder-bag/14529194/14696885/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+275.48%,14696866-14529175,3751.0,2024-10-23,999.0,2024-10-17,Black Leather Cleo Shoulder Bag,https://www.italist.com/us/women/bags/totes/black-leather-cleo-shoulder-bag/14529175/14696866/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+373.27%,14696865-14529174,4728.0,2024-10-23,999.0,2024-10-17,Brown Suede Prada Buckle Large Handbag,https://www.italist.com/us/women/bags/totes/brown-suede-prada-buckle-large-handbag/14529174/14696865/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+334.13%,14687555-14519864,4337.0,2024-10-23,999.0,2024-10-17,Printed Leather Mini Galleria Handbag,https://www.italist.com/us/women/bags/totes/printed-leather-mini-galleria-handbag/14519864/14687555/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+17.52%,14687437-14519746,1174.0,2024-10-23,999.0,2024-10-17,Shoulder Bag,https://www.italist.com/us/women/bags/shoulder-bag/14519746/14687437/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+119.12%,14679027-14511336,2189.0,2024-10-23,999.0,2024-10-17,Light Grey Leather Arquã¨ Handbag,https://www.italist.com/us/women/bags/totes/light-grey-leather-arqua-handbag/14511336/14679027/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+216.82%,14679026-14511335,3165.0,2024-10-23,999.0,2024-10-17,Brown Suede Large Shoulder Bag,https://www.italist.com/us/women/bags/totes/brown-suede-large-shoulder-bag/14511335/14679026/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+75.08%,14670757-14503066,1749.0,2024-10-23,999.0,2024-10-17,Black Nylon Small Backpack,https://www.italist.com/us/women/bags/backpacks/black-nylon-small-backpack/14503066/14670757/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+89.79%,14664354-14496663,1896.0,2024-10-23,999.0,2024-10-17,Caramel Leather Re-edition 1978 Bucket Bag,https://www.italist.com/us/women/bags/shoulder-bags/caramel-leather-re-edition-1978-bucket-bag/14496663/14664354/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+119.12%,14664353-14496662,2189.0,2024-10-23,999.0,2024-10-17,Black Nappa Leather Mini Bucket Bag,https://www.italist.com/us/women/bags/shoulder-bags/black-nappa-leather-mini-bucket-bag/14496662/14664353/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+216.82%,14664352-14496661,3165.0,2024-10-23,999.0,2024-10-17,Black Leather Bucket Bag,https://www.italist.com/us/women/bags/shoulder-bags/black-leather-bucket-bag/14496661/14664352/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+236.44%,14650505-14482814,3361.0,2024-10-23,999.0,2024-10-17,Logo Medium Tote Bag,https://www.italist.com/us/women/bags/totes/logo-medium-tote-bag/14482814/14650505/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+119.12%,14650492-14482801,2189.0,2024-10-23,999.0,2024-10-17,Caramel Leather Crossbody Bag,https://www.italist.com/us/women/bags/shoulder-bags/caramel-leather-crossbody-bag/14482801/14650492/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+153.95%,14645226-14477535,2537.0,2024-10-23,999.0,2024-10-17,Shoulder Bag,https://www.italist.com/us/women/bags/shoulder-bags/shoulder-bag/14477535/14645226/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+177.78%,14628287-14460596,2775.0,2024-10-23,999.0,2024-10-17,Light Pink Leather Crossbody Bag,https://www.italist.com/us/women/bags/shoulder-bags/light-pink-leather-crossbody-bag/14460596/14628287/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+109.31%,14625136-14457445,2091.0,2024-10-23,999.0,2024-10-17,Caramel Leather Crossbody Bag,https://www.italist.com/us/women/bags/shoulder-bags/caramel-leather-crossbody-bag/14457445/14625136/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+177.78%,14625132-14457441,2775.0,2024-10-23,999.0,2024-10-17,Grey Leather Crossbody Bag,https://www.italist.com/us/women/bags/shoulder-bags/grey-leather-crossbody-bag/14457441/14625132/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+109.31%,14625131-14457440,2091.0,2024-10-23,999.0,2024-10-17,Caramel Leather Mini Prada Re-edition Shoulder Bag,https://www.italist.com/us/women/bags/totes/caramel-leather-mini-prada-re-edition-shoulder-bag/14457440/14625131/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+109.31%,14625130-14457439,2091.0,2024-10-23,999.0,2024-10-17,Black Leather Mini Prada Re-edition Shoulder Bag,https://www.italist.com/us/women/bags/totes/black-leather-mini-prada-re-edition-shoulder-bag/14457439/14625130/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+119.12%,14625129-14457438,2189.0,2024-10-23,999.0,2024-10-17,Pastel Yellow Leather Arquã¨ Handbag,https://www.italist.com/us/women/bags/totes/pastel-yellow-leather-arqua-handbag/14457438/14625129/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+324.42%,14597352-14429661,4240.0,2024-10-23,999.0,2024-10-17,Black Leather Shopping Bag,https://www.italist.com/us/women/bags/totes/black-leather-shopping-bag/14429661/14597352/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+177.78%,14573761-14406070,2775.0,2024-10-23,999.0,2024-10-17,Embroidered Fabric Large Symbole Shopping Bag,https://www.italist.com/us/women/bags/totes/embroidered-fabric-large-symbole-shopping-bag/14406070/14573761/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
